,id,created_at,retweet_count,favorite_count,full_text,subjectivity,polarity,analysis
270,669111829205938177,2015-11-24,5816,5687,"The rarest of beasts - a used rocket. Controlled landing not easy, but done right, can look easy. Check out video: ",0.7341269841269842,0.16746031746031745,Positive
269,671461815210139648,2015-11-30,231,599,"Breakthrough Energy Coalition. When in a box, only way out is to invent your way out. Thx to  for pulling this together.",1.0,0.0,Neutral
268,672453111395422208,2015-12-03,490,903,What 400 very happy rocket scientists look like. ,1.0,1.0,Positive
267,674008204838199297,2015-12-07,7527,9710,Finally trashed by . Will still reserve him a seat on the Blue Origin rocket. sendDonaldtospace ,0.55,0.0,Neutral
266,679116636310360067,2015-12-22,1327,2597,Congrats  on landing Falcon's suborbital booster stage.  Welcome to the club!,0.9,1.0,Positive
265,686991579546923008,2016-01-12,157,355,"Grail: Risky, but if works, big breakthrough in broad spectrum EARLY cancer detection. Brilliant scientists. ",0.428125,0.265625,Positive
264,688417513340678144,2016-01-16,47,215,Is Yegi on the plane? JasonIsFree,0.0,0.0,Neutral
263,688732263995973632,2016-01-17,286,659,"Wheels up and out of Iranian airspace! Jason, Yegi, and Mary aboard. Doug Jehl and Ali Rezaian worked tirelessly on this. JasonIsFree",0.0,0.0,Neutral
262,688732394442997760,2016-01-17,291,709,"Believe me, if you’re ever tossed in a foreign prison, you want Fred Ryan and Marty Baron on the team working to get you out. JasonIsFree",0.125,-0.125,Negative
261,688815223558410240,2016-01-17,535,1820,Impressive launch and  will soon make Falcon 9 landings routine – so good for space! Kudos SpaceX!,0.8,1.0,Positive
260,690731500812169217,2016-01-23,730,1044,Can a used rocket fly? Video + a few technical details at   ,0.3666666666666667,0.20000000000000004,Positive
259,694984360173277184,2016-02-03,89,326,"Nice. Blue Origin team just nominated for time-honored aviation award, the Collier Trophy! All the nominees here: ",0.55,0.3,Positive
258,697525483768934400,2016-02-10,701,783,"Mr. Prime Minister , we are so proud of Diego. Great for Italy. Kudos to all! ",0.875,0.9,Positive
257,697850927701594112,2016-02-11,341,686,"Hope, somewhere in space-time, Einstein is seeing this.  LIGO",0.0,0.0,Neutral
256,702598104755777536,2016-02-24,54,212,"Marty's piece today is so inspiring. Thank you, ! BadAssReporting ",1.0,0.625,Positive
255,709569062167183362,2016-03-15,235,492,James Hamilton’s retrospective on 10 years of AWS is excellent:  Kudos and congrats to the whole team!,0.7,0.625,Positive
254,714933790628446208,2016-03-29,153,417,"OK, this is the most hilarious Echo video yet: ",0.6666666666666666,0.5,Positive
248,716029528619913216,2016-04-01,93,236,Two university microgravity experiments on tomorrow’s  flight. Short vids:   ,0.3,0.0,Neutral
249,715986058257833988,2016-04-01,92,285,We’ll have drone cameras in the air and hopefully will get good aerial footage to share. LaunchLandRepeat ,0.6000000000000001,0.7,Positive
